what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.commons.ui",1410023226830
started,bundle,org.eclipse.mylyn.commons.workbench,3.8.2.v20120916-1200,"org.eclipse.mylyn.commons.workbench",1410023226830
started,bundle,org.eclipse.mylyn.context.core,3.8.2.v20120916-1200,"org.eclipse.mylyn.context.core",1410023226830
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.context.tasks.ui",1410023226830
started,bundle,org.eclipse.mylyn.monitor.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.monitor.ui",1410023226832
started,bundle,org.eclipse.mylyn.tasks.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.tasks.ui",1410023226832
started,bundle,org.eclipse.mylyn.team.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.team.ui",1410023226832
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1410023226835
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1410023226835
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1410023226835
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1410023226835
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1410023226837
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1410023226840
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1410023226840
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1410023226840
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1410023226840
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1410023226842
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1410023226842
os,sysinfo,,,"win32",1410023226857
arch,sysinfo,,,"x86_64",1410023226857
ws,sysinfo,,,"win32",1410023226857
locale,sysinfo,,,"en_US",1410023226857
processors,sysinfo,,,"4",1410023226857
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1410023226857
java.runtime.version,sysinfo,,,"1.7.0_25-b17",1410023226857
java.specification.name,sysinfo,,,"Java Platform API Specification",1410023226857
java.specification.vendor,sysinfo,,,"Oracle Corporation",1410023226857
java.specification.version,sysinfo,,,"1.7",1410023226857
java.vendor,sysinfo,,,"Oracle Corporation",1410023226857
java.version,sysinfo,,,"1.7.0_25",1410023226857
java.vm.info,sysinfo,,,"mixed mode",1410023226857
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1410023226857
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1410023226857
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1410023226857
java.vm.specification.version,sysinfo,,,"1.7",1410023226857
java.vm.vendor,sysinfo,,,"Oracle Corporation",1410023226857
java.vm.version,sysinfo,,,"23.25-b01",1410023226857
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1410023227347
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1410023227350
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1410023227947
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1410023228292
error,log,,,"Failed to load properties file for project 'AndroidClient'",1410023229882
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1410023230310
started,bundle,com.android.ide.eclipse.traceview,12.0.0.v201106281929-138431,"com.android.ide.eclipse.traceview",1410023230932
error,log,,,"Failed to load properties file for project 'AndroidClient'",1410023231232
error,log,,,"Failed to load properties file for project 'AndroidClient'",1410023231282
started,bundle,com.google.gdt.eclipse.appengine.rpc,3.1.2.v201211121242-rel-r37,"com.google.gdt.eclipse.appengine.rpc",1410023231490
started,bundle,com.google.gdt.eclipse.platform.e37,3.1.2.v201211121242-rel-r37,"com.google.gdt.eclipse.platform.e37",1410023231590
started,bundle,com.google.gwt.eclipse.core,3.1.2.v201211121242-rel-r37,"com.google.gwt.eclipse.core",1410023232545
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1410023232665
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1410023232677
started,bundle,com.google.gdt.eclipse.maven,3.1.2.v201211121242-rel-r37,"com.google.gdt.eclipse.maven",1410023233520
started,bundle,com.google.gdt.eclipse.suite,3.1.2.v201211121242-rel-r37,"com.google.gdt.eclipse.suite",1410023233590
error,log,,,"Unable to parse the downloaded compositeArtifacts.xml",1410023236127
